10                       -1                       0.1                      0                        -1	10                       -1                       0.1                      0                        3.722190475363885E-20
10                       -1                       0.1                      0.01                     -0.9990000000000001	10                       -1                       0.1                      0.01                     7.070000000000236E-8
10                       -1                       0.1                      0.02                     -0.9980000000000002	10                       -1                       0.1                      0.02                     7.070000000000134E-8
10                       -1                       0.1                      0.04                     -0.996	10                       -1                       0.1                      0.04                     7.070000000000072E-8
10                       -1                       0.1                      0.08                     -0.992	10                       -1                       0.1                      0.08                     7.070000000000121E-8
10                       -1                       0.1                      0.16                     -0.984	10                       -1                       0.1                      0.16                     7.069999999999733E-8
10                       -1                       0.1                      0.32                     -0.968	10                       -1                       0.1                      0.32                     7.070000000000101E-8
10                       -1                       0.1                      0.64                     -0.9359999999999999	10                       -1                       0.1                      0.64                     7.070000000000034E-8
10                       -1                       0.1                      1.28                     -0.872	10                       -1                       0.1                      1.28                     7.070000000000481E-8
10                       -1                       0.1                      2.56                     -0.7439999999999998	10                       -1                       0.1                      2.56                     7.070000000489627E-8
10                       -1                       0.1                      5.12                     -0.48799999999999993	10                       -1                       0.1                      5.12                     7.070009427989489E-8
10                       -1                       0.1                      6.12                     -0.3879999999999999	10                       -1                       0.1                      6.12                     7.070782501405749E-8
10                       -1                       0.1                      6.62                     -0.3380000000000001	10                       -1                       0.1                      6.62                     7.077452743939699E-8
10                       -1                       0.1                      6.756039698930451        -0.3243960301069548	10                       -1                       0.1                      6.756039698930451        7.0861171312137E-8
10                       -1                       0.1                      6.892079397860901        -0.3107920602139096	10                       -1                       0.1                      6.892079397860901        7.098779356381765E-8
10                       -1                       0.1                      7.014345806919906        -0.2985654193080096	10                       -1                       0.1                      7.014345806919906        7.1177800572311E-8
10                       -1                       0.1                      7.101064062478988        -0.289893593752101	10                       -1                       0.1                      7.101064062478988        7.139354010989625E-8
10                       -1                       0.1                      7.1650441045683735       -0.28349558954316256	10                       -1                       0.1                      7.1650441045683735       7.161242451460251E-8
10                       -1                       0.1                      7.21426767948853         -0.2785732320511469	10                       -1                       0.1                      7.21426767948853         7.182517571212107E-8
10                       -1                       0.1                      7.2541357913472595       -0.27458642086527396	10                       -1                       0.1                      7.2541357913472595       7.203120981026586E-8
10                       -1                       0.1                      7.287565591376996        -0.27124344086230057	10                       -1                       0.1                      7.287565591376996        7.223110959029969E-8
10                       -1                       0.1                      7.316351366023196        -0.2683648633976805	10                       -1                       0.1                      7.316351366023196        7.242580694076992E-8
10                       -1                       0.1                      7.341646403196137        -0.2658353596803864	10                       -1                       0.1                      7.341646403196137        7.261618006995685E-8
10                       -1                       0.1                      7.364257417903055        -0.2635742582096947	10                       -1                       0.1                      7.364257417903055        7.280318831762022E-8
10                       -1                       0.1                      7.38460733113928         -0.2615392668860719	10                       -1                       0.1                      7.38460733113928         7.29864864355966E-8
10                       -1                       0.1                      7.402922253051884        -0.25970777469481154	10                       -1                       0.1                      7.402922253051884        7.316476745081482E-8
10                       -1                       0.1                      7.419405682773227        -0.2580594317226774	10                       -1                       0.1                      7.419405682773227        7.333687457595453E-8
10                       -1                       0.1                      7.43588911249457         -0.25641108875054286	10                       -1                       0.1                      7.43588911249457         7.351879915350393E-8
10                       -1                       0.1                      7.450724199243778        -0.2549275800756221	10                       -1                       0.1                      7.450724199243778        7.369430965150503E-8
10                       -1                       0.1                      7.4655592859929865       -0.25344407140070135	10                       -1                       0.1                      7.4655592859929865       7.387896211086326E-8
10                       -1                       0.1                      7.478910864067275        -0.25210891359327237	10                       -1                       0.1                      7.478910864067275        7.405605747463615E-8
10                       -1                       0.1                      7.492262442141563        -0.2507737557858438	10                       -1                       0.1                      7.492262442141563        7.424141092800186E-8
10                       -1                       0.1                      7.505614020215851        -0.24943859797841483	10                       -1                       0.1                      7.505614020215851        7.443636685852647E-8
10                       -1                       0.1                      7.532317176364426        -0.24676828236355733	10                       -1                       0.1                      7.532317176364426        7.487800613315436E-8
10                       -1                       0.1                      7.559020332513001        -0.24409796674869977	10                       -1                       0.1                      7.559020332513001        7.535866550061257E-8
10                       -1                       0.1                      7.585723488661577        -0.24142765113384224	10                       -1                       0.1                      7.585723488661577        7.588829826829339E-8
10                       -1                       0.1                      7.612426644810152        -0.2387573355189847	10                       -1                       0.1                      7.612426644810152        7.64746239140222E-8
10                       -1                       0.1                      7.639129800958727        -0.23608701990412717	10                       -1                       0.1                      7.639129800958727        7.712495348115545E-8
10                       -1                       0.1                      7.665832957107303        -0.23341670428926964	10                       -1                       0.1                      7.665832957107303        7.784690432399114E-8
10                       -1                       0.1                      7.692536113255878        -0.2307463886744121	10                       -1                       0.1                      7.692536113255878        7.864872324964779E-8
10                       -1                       0.1                      7.719239269404453        -0.22807607305955457	10                       -1                       0.1                      7.719239269404453        7.95394724923956E-8
10                       -1                       0.1                      7.745942425553029        -0.22540575744469704	10                       -1                       0.1                      7.745942425553029        8.052917030248813E-8
10                       -1                       0.1                      7.772645581701604        -0.2227354418298395	10                       -1                       0.1                      7.772645581701604        8.16289205724958E-8
10                       -1                       0.1                      7.799348737850179        -0.22006512621498198	10                       -1                       0.1                      7.799348737850179        8.285104548069317E-8
10                       -1                       0.1                      7.826051893998755        -0.21739481060012444	10                       -1                       0.1                      7.826051893998755        8.42092275595437E-8
10                       -1                       0.1                      7.85275505014733         -0.2147244949852669	10                       -1                       0.1                      7.85275505014733         8.5718664929596E-8
10                       -1                       0.1                      7.879458206295905        -0.21205417937040938	10                       -1                       0.1                      7.879458206295905        8.739624228984074E-8
10                       -1                       0.1                      7.906161362444481        -0.20938386375555185	10                       -1                       0.1                      7.906161362444481        8.926072007381713E-8
10                       -1                       0.1                      7.932864518593056        -0.20671354814069431	10                       -1                       0.1                      7.932864518593056        9.133294403591538E-8
10                       -1                       0.1                      7.959567674741631        -0.20404323252583678	10                       -1                       0.1                      7.959567674741631        9.36360777453243E-8
10                       -1                       0.1                      7.986270830890207        -0.20137291691097925	10                       -1                       0.1                      7.986270830890207        9.61958605550069E-8
10                       -1                       0.1                      8.012973987038782        -0.19870260129612172	10                       -1                       0.1                      8.012973987038782        9.904089393874311E-8
